"CDB10001","07-09-2022","Windows Server 2019 Datacenter"
"CAP10002","05-09-2022","Windows Server 2019 Datacenter"
"VSQ0004","18-05-2021","Windows Server 2012 R2 Datacenter"
"VAP0148","15-01-2022","Windows Server 2008 R2 Enterprise"
"VAP0116","01-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0168","12-07-2020","Windows Server 2012 R2 Standard"
"VAP0081","31-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0114","31-01-2020","Windows Server 2008 R2 Enterprise"
"CAP10240","31-08-2022","Windows Server 2019 Datacenter"
"PHV0054","04-03-2020","Windows Server 2016 Datacenter"
"CDC6003","03-09-2022","Windows Server 2016 Datacenter"
"CDC1004","04-09-2022","Windows Server 2016 Datacenter"
"PHV0132","05-05-2020","Windows Server 2016 Datacenter"
"PHV0110","29-11-2021","Windows Server 2016 Datacenter"
"PHV0131","27-04-2020","Windows Server 2016 Datacenter"
"PHV0111","19-11-2021","Windows Server 2016 Datacenter"
"CAP11001","31-08-2022","Windows Server 2019 Datacenter"
"CAP11002","03-09-2022","Windows Server 2019 Datacenter"
"CAP10003","30-08-2022","Windows Server 2019 Datacenter"
"CAP10004","29-08-2022","Windows Server 2019 Datacenter"
"PHV0113","06-03-2021","Windows Server 2016 Datacenter"
"PHV0112","25-02-2021","Windows Server 2016 Datacenter"
"DPM-RESTORE19","31-08-2022","Windows Server 2019 Datacenter"
"CDB10002","31-08-2022","Windows Server 2019 Datacenter"
"PHV0115","31-07-2020","Windows Server 2016 Datacenter"
"CAP10005","01-09-2022","Windows Server 2019 Datacenter"
"PHV6002","12-05-2022","Windows Server 2016 Datacenter"
"CAP10006","03-09-2022","Windows Server 2019 Datacenter"
"VRD0012","13-02-2021","Windows Server 2016 Datacenter"
"CAP10008","07-09-2022","Windows Server 2019 Datacenter"
"CDP10001","06-09-2022","Windows Server 2016 Datacenter"
"CAP11003","01-09-2022","Windows Server 2019 Datacenter"
"CDB11001","01-09-2022","Windows Server 2019 Datacenter"
"PHV0120","08-06-2020","Windows Server 2016 Datacenter"
"PHV0117","29-05-2020","Windows Server 2016 Datacenter"
"CDB1005","08-09-2022","Windows Server 2016 Datacenter"
"CAP10009","03-09-2022","Windows Server 2019 Datacenter"
"VMM0002","05-09-2022","Windows Server 2019 Datacenter"
"CFS10001","03-09-2022","Windows Server 2019 Datacenter"
"CDC10001","05-09-2022","Windows Server 2016 Datacenter"
"PRD0023","13-10-2021","Windows Server 2016 Datacenter"
"PRD0024","17-03-2021","Windows Server 2016 Datacenter"
"PRD0025","02-09-2022","Windows Server 2016 Datacenter"
"PRD0026","06-09-2022","Windows Server 2016 Datacenter"
"CDB11002","13-08-2022","Windows Server 2019 Datacenter"
"CDB11003","04-09-2022","Windows Server 2019 Datacenter"
"CDB10003","03-08-2022","Windows Server 2019 Datacenter"
"PHV0033","03-09-2022","Windows Server 2019 Datacenter"
"CAP10235","08-09-2022","Windows Server 2019 Datacenter"
"CDG6003","31-08-2022","Windows Server 2019 Datacenter"
"CDG6004","23-08-2022","Windows Server 2019 Datacenter"
"CJH10001","01-09-2022","Windows Server 2019 Datacenter"
"CAP10010","05-09-2022","Windows Server 2019 Datacenter"
"CAP1014","24-03-2021","Windows Server 2016 Datacenter"
"VSHMIG01","31-08-2022","Windows Server 2016 Standard"
"VSHMIG02","31-08-2022","Windows Server 2016 Standard"
"VSHMIG03","17-01-2021","Windows Server 2016 Standard"
"CDG1003","08-06-2022","Windows Server 2012 Datacenter"
"CBK10001","05-09-2022","Windows Server 2019 Datacenter"
"CDG1004-TEST","06-05-2020","Windows Server 2012 Datacenter"
"CAP1015","30-08-2022","Windows Server 2016 Datacenter"
"PHV1602","06-09-2022","Windows Server 2019 Datacenter"
"VAP1601","07-09-2022","Windows Server 2019 Standard"
"VAP1602","07-09-2022","Windows Server 2019 Standard"
"VAP0005","18-09-2020","Windows Server 2019 Datacenter"
"VMG0005","30-08-2022","Windows Server 2019 Datacenter"
"VDB0021","02-09-2022","Windows Server 2019 Standard"
"VDB0022","02-09-2022","Windows Server 2019 Standard"
"VDB0023","02-09-2022","Windows Server 2019 Standard"
"CAP11237","22-08-2022","Windows Server 2019 Datacenter"
"CAP11238","29-08-2022","Windows Server 2019 Datacenter"
"CAP11239","22-08-2022","Windows Server 2019 Datacenter"
"CAP11240","24-08-2022","Windows Server 2019 Datacenter"
"vhc0002","05-09-2022","Windows Server 2019 Datacenter"
"VRD0013","07-09-2022","Windows Server 2019 Standard"
"VRD0014","02-09-2022","Windows Server 2019 Standard"
"vhc0002-cau","22-03-2022","Windows Server 2019 Datacenter"
"PHV0031","06-09-2022","Windows Server 2019 Datacenter"
"PHV0032","06-09-2022","Windows Server 2019 Datacenter"
"VGW0001","05-09-2022","Windows Server 2019 Standard"
"VGW0002","06-09-2022","Windows Server 2019 Standard"
"VBR0012","06-09-2022","Windows Server 2019 Standard"
"VBR0013","07-09-2022","Windows Server 2019 Standard"
"VAP0007","09-05-2020","Windows Server 2019 Standard"
"VPS0007","30-08-2022","Windows Server 2019 Standard"
"VPS0008","31-08-2022","Windows Server 2019 Standard"
"VCA0001","15-04-2021","Windows Server 2012 R2 Datacenter"
"PHV0034","02-09-2022","Windows Server 2019 Datacenter"
"PHV0035","02-09-2022","Windows Server 2019 Datacenter"
"PHV0037","02-09-2022","Windows Server 2019 Datacenter"
"PHV0038","02-09-2022","Windows Server 2019 Datacenter"
"PHV0039","01-09-2022","Windows Server 2019 Datacenter"
"PHV0040","08-09-2022","Windows Server 2019 Datacenter"
"VAP0061","08-09-2022","Windows Server 2019 Standard"
"VAP0062","08-09-2022","Windows Server 2019 Standard"
"VAP0063","29-08-2022","Windows Server 2019 Standard"
"VAP0064","29-08-2022","Windows Server 2019 Datacenter"
"VWS0061","08-09-2022","Windows Server 2019 Standard"
"VAP0261","08-09-2022","Windows Server 2019 Standard"
"VAP0262","29-08-2022","Windows Server 2019 Datacenter"
"VWS0261","06-09-2022","Windows Server 2019 Datacenter"
"VWS0262","07-09-2022","Windows Server 2019 Datacenter"
"VWS0062","02-09-2022","Windows Server 2019 Datacenter"
"VRA0001","02-09-2022","Windows Server 2019 Standard"
"VRA0002","02-09-2022","Windows Server 2019 Standard"
"CAP6021","02-09-2022","Windows Server 2019 Datacenter"
"VAP1082","02-09-2022","Windows Server 2016 Datacenter"
"VSQ0005","13-12-2020","Windows Server 2016 Datacenter"
"VSQ0006","06-09-2022","Windows Server 2019 Standard"
"PHV0041","30-08-2022","Windows Server 2019 Datacenter"
"VRA0003","02-09-2022","Windows Server 2019 Standard"
"VRA0004","01-09-2022","Windows Server 2019 Standard"
"PHV4701","06-09-2022","Windows Server 2019 Datacenter"
"VAP1083","03-09-2022","Windows Server 2019 Standard"
"CDP11001","08-09-2022","Windows Server 2016 Datacenter"
"CRA6001","23-03-2021","Windows Server 2019 Datacenter"
